认,ren4 - recognize
识,shi2 - recognize
高,"gao1 - tall, great"
兴,xing4 - interest
可,ke3 - can
以,yi3 - can
进,jin4 - enter
来,lai2 - come
请,qing3 - please
记,ji4 - write down
者,zhe3 - person who does
问,wen4 - ask
贵,gui4 - expensive
姓,xing4 - surname
叫,jiao4 - call
先,xian1 - first
杨,yang2 - surname
言,yan2 - speech
学,xue2 - learn
院,yuan4 - courtyard
的,de - possesive
什,shen2 - what
么,me - what
习,xi2 - study
汉,han4 - han
英,ying1 - england
马,ma3 - horse
大,da4 - big
为,"wei4 - for, wei2 - do, become"
美,mei3 - beautiful
